label,hand,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41
neutral,Left,0.0,0.0,0.46457095455680253,0.13223794968766475,0.9169110459034175,-0.030171644719510827,1.2404039819323645,-0.11582648069094434,1.5358680079750748,-0.11627806127829639,0.7864275928735924,-0.6811702194462239,1.0619657012679486,-0.8863896535343737,1.2730008265579094,-0.8603386059058954,1.4704094318559673,-0.7884336411337824,0.6292945206313827,-0.7771538248250117,0.8862556947292666,-0.9667661488955231,1.1109182492337895,-0.9405290136961494,1.3284903823684457,-0.8826872988665263,0.4312264258312591,-0.7790165189792839,0.6520223594408575,-0.9632213928219194,0.8661212620177592,-0.9668043362472053,1.0777513220009898,-0.9256426141729562,0.21334940003158515,-0.7077383116935093,0.36896922269483595,-0.9316598497308674,0.524762100737535,-0.9746303187482822,0.6775939436537715,-0.9563131190580921
neutral,Left,0.0,0.0,0.4402044164523765,0.16219340338188645,0.8823116088137061,-0.018791675066022095,1.212879831159239,-0.11601107594682944,1.5109227269257408,-0.13842618086976538,0.8336163662401092,-0.6188111783154078,1.054239339029842,-0.9037376136589298,1.2609808778399016,-0.9230529660134617,1.4604179156420825,-0.8680472281517447,0.6875346243534812,-0.7261374282234031,0.9233190970945077,-0.9964309465461881,1.1448496136629225,-1.0108099965909965,1.3663963801706176,-0.9590002845228546,0.5070845674913159,-0.7646031807186389,0.7423404573017857,-0.9992216436656355,0.953798464337341,-1.0289179477967276,1.1541261827736675,-0.9687888800222481,0.29852824772651987,-0.7331488171189781,0.4991450924409873,-0.961341502189752,0.6875005914617806,-1.0135669674213712,0.8721866702314701,-0.9861493340210782
neutral,Left,0.0,0.0,0.4338952315395239,0.12598959443780539,0.8690648612515927,-0.0556061961957146,1.2143008464822762,-0.11705955330135244,1.544680640775702,-0.1291484890781539,0.8200815034842045,-0.7146604179334143,1.0834992091522888,-1.0853979170105021,1.293004848560464,-1.1445285380277983,1.4979225223484969,-1.1122977655737212,0.6146561856108426,-0.7887810813557793,0.8444259457533061,-1.1718818290943191,1.0393245893025687,-1.2424945925676718,1.2408447492903523,-1.2476933174779756,0.34590061560542096,-0.7596351721129402,0.5366601090735239,-1.1306066633856093,0.7099108390595443,-1.2466714193582897,0.9030403297515371,-1.3047404825617337,0.05339649023574701,-0.6365057026194303,0.1615831784597363,-0.9337709742737726,0.29044281276537876,-1.0512700891854687,0.43601272871055474,-1.1362257810540761
neutral,Left,0.0,0.0,0.4382904885412742,0.15206430199603788,0.8812828404612043,-0.040747906093311866,1.2335742951721214,-0.11581083406838472,1.5603700156405351,-0.1330805032677588,0.8203380021870518,-0.7057240859193983,1.0854723552660572,-1.1420886279797329,1.2949201330029965,-1.2208831828322761,1.505215178548074,-1.2041966014466368,0.6157714734771421,-0.7879104146131332,0.8175884357235599,-1.2088808978691432,1.0160274749980578,-1.2885531248770066,1.2301071861151343,-1.3082213592429606,0.341542166677762,-0.7666611541937155,0.517910014680689,-1.1647702709775025,0.6923107014209408,-1.2799540998417784,0.8887670394330928,-1.3437802567505448,0.04304782604459001,-0.6498564357985593,0.13697901622865036,-0.957107904072306,0.25300470768378786,-1.1037521244440331,0.38733077570776914,-1.2367542520612784
neutral,Left,0.0,0.0,0.4152857414324819,0.12597677560149673,0.8235068286033101,-0.08118649382547709,1.1631296266986635,-0.1574632365956281,1.4868361705197686,-0.15450668877546325,0.7795410679554293,-0.7279609722938023,1.0194738164039863,-1.1521070132584021,1.2256221418865922,-1.2663155943760604,1.435037942461209,-1.280075656626274,0.588354949439366,-0.8085894080520905,0.7829068153976092,-1.239908363965743,0.979869414877046,-1.345882688752524,1.1958784846369324,-1.3775489398168004,0.3296225393012757,-0.7854841286074499,0.5065604558605485,-1.1924476519005425,0.6843570472171993,-1.3149020887084426,0.8854883275703603,-1.377707464394778,0.04377984869362677,-0.6642502021682054,0.1335537349017361,-0.9803804310979246,0.24589063050420945,-1.1301874461043246,0.3765367926586518,-1.260245907384314
neutral,Left,0.0,0.0,0.4165840523066048,0.1339090169679923,0.816132992943613,-0.05418097250996016,1.1449419513076287,-0.10417582939820064,1.4598665758309834,-0.08482032045799452,0.7760349165872596,-0.7202555334453886,1.016022571849332,-1.1362138426820496,1.2239684728758005,-1.3055085183442423,1.43520200305156,-1.4016849404231502,0.5888603601237422,-0.8082215157951093,0.7921824131509982,-1.230029259738747,0.9939022185934362,-1.378832688400212,1.2101327404386302,-1.4873404376306048,0.3337602263446397,-0.7825561377990663,0.5232353558220796,-1.2102216298476463,0.7090650602916349,-1.3749228333878083,0.9140050284614131,-1.5054131253155145,0.049717637040697635,-0.6519935832582752,0.14086924954159402,-0.9909020411661068,0.26163318559570625,-1.15767008333893,0.40314288652672164,-1.3013646092045015
neutral,Left,0.0,0.0,0.3701553005911244,0.12263731414528733,0.7401611845520608,-0.03391817753909193,1.0518042097778633,-0.05671023850688502,1.3452720274114,-0.051172785893747665,0.7190741601303648,-0.7384645828157324,0.9444248640177031,-1.1354139603666817,1.1376088183657742,-1.292640019427671,1.335499095321562,-1.3847704340988847,0.5495950336643401,-0.8354191061882181,0.7447650844697291,-1.2445887156347464,0.9388461410853405,-1.3946753107129612,1.146233712597454,-1.50884829325538,0.32111109919114394,-0.8192152341361749,0.4999537682300197,-1.2327625098526471,0.6684574691949379,-1.3935107044784716,0.8477694751487994,-1.5185471195165359,0.07045897842983079,-0.6999422041157661,0.1644908402174695,-1.023961203974662,0.273776754228557,-1.1916988434666607,0.3929431441540332,-1.3417571216835094
neutral,Left,0.0,0.0,0.34146173324694856,0.12361768120612662,0.6830264904702353,-0.012385057960022828,0.9790377226998327,-0.033025459247814665,1.2599657194587934,-0.040954511341742,0.696791719490041,-0.7396245943210541,0.924912486133755,-1.1129309510983545,1.1152780299020708,-1.2684300292654807,1.3122943112703724,-1.3550571414715806,0.5513665183519966,-0.8342513869561348,0.7429768135624724,-1.2276033493731329,0.9363551519702762,-1.3661901516738388,1.1429923550949204,-1.4594049613131002,0.3464074678164308,-0.8205570781240066,0.5287444377459714,-1.212537333207323,0.7017756867532918,-1.3897292332250613,0.8838958101830611,-1.525987635289999,0.11208745958234913,-0.7116826240813382,0.23104250326445547,-1.0110148473215657,0.3405088344289762,-1.190058844092398,0.4484172562855838,-1.3571468062607634
neutral,Left,0.0,0.0,0.29895719840546353,0.048175933221744884,0.5983124781509073,-0.10675592184394676,0.8659507080442734,-0.1454890204617721,1.118610453263874,-0.18221499080579506,0.6222548052471528,-0.7830416385036502,0.8481077098800409,-1.088380274975015,1.0359772896926271,-1.2264006853644764,1.222826314091606,-1.3092323502001038,0.49947233362973664,-0.8663193917785234,0.703148116024218,-1.208348397823669,0.8909877588254644,-1.3570900341121084,1.0866334099079071,-1.463449492832904,0.3194122682348097,-0.851091432010258,0.5016145830087761,-1.2136065237073095,0.6652745602454961,-1.3920629362245114,0.8376235527465391,-1.529360003691326,0.10655202652346912,-0.751580806316194,0.22234865608928228,-1.0273794339763485,0.33868415185921497,-1.19571767606625,0.45293916019242203,-1.3467097125584795
neutral,Left,0.0,0.0,0.3047714616562469,0.0775229528867027,0.6125866097177771,-0.04650143499974186,0.8718897036077962,-0.09395065286636813,1.110058365963588,-0.13809469924134657,0.6542147672771803,-0.7385856793384802,0.8808912271347086,-1.0205229223042143,1.0650003286405785,-1.1486350596125752,1.2440272328268505,-1.2256033959263528,0.5554651255539843,-0.8315290111952225,0.7734828084901119,-1.145677462143418,0.9630232904770636,-1.284573512603285,1.1503115142534621,-1.383322081567152,0.4020138765226544,-0.8436340274599918,0.5923170903922941,-1.182023084578593,0.7585864724521301,-1.3528020786663468,0.9268713011007144,-1.485491680030164,0.21236048661635962,-0.7859796500996797,0.33195571942453705,-1.05186036781347,0.44687211242069824,-1.2122840161015234,0.5615280930898235,-1.3553649007025517
